item_id,good_sentence,bad_sentence,good_human_score,bad_human_score
33,The botanist examined the plant.,The botanist examined the tire.,6.55,3.0
34,The boxer delivered the punch.,The boxer delivered the drink.,6.15,2.2
35,The breeder sold the dog.,The breeder sold the cigarette.,6.25,1.9
36,The burglar climbed the wall.,The burglar climbed the rock.,6.05,2.75
37,The businessman read the report.,The businessman read the fable.,6.45,2.35
38,The businessman tied the necktie.,The businessman tied the prisoner.,6.5,1.45
39,The businessman wore the tie.,The businessman wore the uniform.,6.55,4.15
40,The butcher carved the meat.,The butcher carved the stone.,5.75,2.3
41,The butcher cut the meat.,The butcher cut the tree.,6.75,1.8
42,The butcher sold the meat.,The butcher sold the weapon.,6.95,1.6
43,The butcher used the knife.,The butcher used the camera.,6.35,2.05
44,The cameraman recorded the video.,The cameraman recorded the sale.,6.85,2.45
45,The candidate celebrated the victory.,The candidate celebrated the holiday.,5.9,5.0
46,The carpenter fixed the chair.,The carpenter fixed the shoe.,5.55,1.2
47,The carpenter flipped the board.,The carpenter flipped the hair.,6.35,3.1
48,The carpenter grabbed the board.,The carpenter grabbed the ball.,5.85,1.25
49,The carver built the sculpture.,The carver built the house.,6.05,2.9
50,The cat chased the bird.,The cat chased the kite.,5.85,3.9
51,The cat drank the milk.,The cat drank the coffee.,5.6,1.45
52,The champion held the cup.,The champion held the guitar.,6.4,2.95
53,The chauffeur carried the passenger.,The chauffeur carried the rifle.,6.65,2.1
54,The cheerleader carried the flag.,The cheerleader carried the rifle.,5.2,2.2
55,The cheerleader performed the dance.,The cheerleader performed the spell.,5.75,1.65
56,The cheerleader shook the flag.,The cheerleader shook the drink.,5.15,2.75
57,The chemist mixed the substance.,The chemist mixed the music.,6.85,1.35
58,The chemist poured the compound.,The chemist poured the juice.,6.25,2.75
59,The chemist sold the drug.,The chemist sold the dog.,4.45,1.9
60,The child ate the candy.,The child ate the bone.,6.35,2.85
61,The child built the snowman.,The child built the sculpture.,6.15,3.95
62,The child celebrated the birthday.,The child celebrated the victory.,6.45,5.05
63,The child chased the toy.,The child chased the thief.,6.1,2.05
64,The child climbed the tree.,The child climbed the mountain.,5.2,3.2
65,The child crossed the park.,The child crossed the river.,5.55,3.5
66,The child cut the paper.,The child cut the tree.,5.35,1.75
67,The child drank the coke.,The child drank the beer.,4.65,2.0
68,The child drew the flower.,The child drew the horse.,4.95,5.65
69,The child enjoyed the ride.,The child enjoyed the lecture.,6.7,2.85
70,The child found the doll.,The child found the corpse.,5.65,1.45
71,The child grabbed the frisbee.,The child grabbed the tyre.,4.95,2.3
72,The child lent the pen.,The child lent the car.,4.45,1.45
73,The child opened the present.,The child opened the congress.,6.7,1.5
74,The child picked the flower.,The child picked the investment.,5.4,1.65
75,The child rode the bus.,The child rode the bull.,5.3,2.0
76,The child threw the ball.,The child threw the bottle.,6.35,4.2
77,The child threw the snowball.,The child threw the spear.,5.95,1.6
78,The child told the lie.,The child told the verdict.,5.95,2.05
79,The child visited the grandmother.,The child visited the president.,5.95,3.05
80,The child visited the zoo.,The child visited the prisoner.,6.3,2.0
81,The child wrote the conjugation.,The child wrote the diagnosis.,3.95,1.05
82,The climber climbed the rock.,The climber climbed the staircase.,6.8,5.6
83,The climber faced the wall.,The climber faced the ocean.,5.5,2.35
84,The climber used the rope.,The climber used the blackboard.,6.85,1.8
85,The coach checked the team.,The coach checked the car.,6.95,2.45
86,The cobbler fixed the shoe.,The cobbler fixed the phone.,6.25,1.55
87,The cobbler sewed the shoe.,The cobbler sewed the parachute.,6.6,1.6
88,The collector donated the painting.,The collector donated the blood.,3.7,3.4
89,The comedian entertained the audience.,The comedian entertained the soldier.,6.35,4.3
90,The confectioner decorated the cake.,The confectioner decorated the tree.,6.05,2.9
91,The confectioner spread the icing.,The confectioner spread the cement.,6.35,1.2
92,The cook bought the food.,The cook bought the ticket.,5.1,3.0
93,The cook checked the groceries.,The cook checked the tire.,6.2,1.9
94,The cook cleaned the fish.,The cook cleaned the window.,6.1,2.3
95,The cook cut the fish.,The cook cut the grass.,5.75,3.35
96,The cook flipped the pancake.,The cook flipped the hair.,6.3,2.5
97,The cook mixed the ingredient.,The cook mixed the paint.,6.15,1.9
98,The cowboy enjoyed the ride.,The cowboy enjoyed the snack.,5.6,4.8
99,The cowboy rode the bull.,The cowboy rode the bike.,5.7,3.25
100,The crew loaded the container.,The crew loaded the stroller.,5.2,3.4
101,The customer read the menu.,The customer read the music.,5.45,2.6
102,The cyclist completed the race.,The cyclist completed the project.,6.25,2.7
103,The cyclist fixed the bike.,The cyclist fixed the hair.,6.1,2.5
104,The cyclist rode the bike.,The cyclist rode the skates.,6.5,2.1
105,The dealer checked the car.,The dealer checked the net.,5.9,2.95
106,The dealer examined the car.,The dealer examined the plant.,6.4,2.35
107,The dealer sold the car.,The dealer sold the meat.,6.7,3.9
108,The deejay mixed the music.,The deejay mixed the ingredient.,6.65,2.1
109,The demonstrator carried the flag.,The demonstrator carried the ball.,5.85,3.45
110,The demonstrator signed the petition.,The demonstrator signed the shirt.,5.25,2.1
111,The demonstrator threw the stone.,The demonstrator threw the frisbee.,3.5,2.05
112,The diplomat carried the message.,The diplomat carried the dog.,5.65,3.0
113,The doctor helped the woman.,The doctor helped the cook.,6.1,2.05
114,The doctor offered the support.,The doctor offered the breakfast.,6.0,2.15
115,The doctor sewed the wound.,The doctor sewed the shoe.,5.65,1.6
116,The doctor used the stethoscope.,The doctor used the shovel.,5.85,2.9
117,The doctor visited the patient.,The doctor visited the museum.,6.05,2.95
118,The doctor wrote the diagnosis.,The doctor wrote the conjugation.,6.8,3.05
119,The dog ate the bone.,The dog ate the plant.,6.25,4.3
120,The dog carried the ball.,The dog carried the flag.,6.0,1.45
121,The dog caught the ball.,The dog caught the wave.,5.65,2.35
122,The dog chased the ball.,The dog chased the tank.,6.5,2.25
123,The dog dug the hole.,The dog dug the grave.,6.5,2.6
124,The dog fetched the ball.,The dog fetched the tray.,5.5,3.2
125,The dog pulled the sled.,The dog pulled the trigger.,5.05,2.8
126,The driver heard the horn.,The driver heard the baby.,5.75,3.25
127,The electrician checked the device.,The electrician checked the rifle.,5.35,1.9
128,The employee passed the report.,The employee passed the rifle.,5.4,1.8
129,The employer offered the job.,The employer offered the candy.,6.65,2.85
130,The engineer completed the project.,The engineer completed the painting.,6.25,1.85
131,The engineer drew the turbine.,The engineer drew the flower.,5.4,2.1
132,The farmer picked the vegetable.,The farmer picked the killer.,5.8,1.55
133,The farmer plowed the field.,The farmer plowed the sand.,6.8,4.1
134,The farmer sold the corn.,The farmer sold the drug.,6.25,1.45
135,The farmer sprayed the pesticide.,The farmer sprayed the cream.,6.7,2.15
136,The farmer used the shovel.,The farmer used the computer.,5.95,2.55
137,The fighter kicked the opponent.,The fighter kicked the television.,5.55,2.6
138,The firefighter fought the fire.,The firefighter fought the crime.,7.0,2.05
139,The fisherman caught the fish.,The fisherman caught the ball.,6.45,2.2
140,The fisherman checked the net.,The fisherman checked the car.,6.15,1.75
141,The fisherman sold the fish.,The fisherman sold the drug.,6.45,1.55
142,The florist sold the flower.,The florist sold the bike.,6.15,1.4
143,The footballer chased the ball.,The footballer chased the toy.,5.75,2.7
144,The footballer delivered the kick.,The footballer delivered the lecture.,5.9,3.2
145,The footballer hit the ball.,The footballer hit the car.,6.05,2.3
146,The footballer kicked the ball.,The footballer kicked the vase.,6.6,1.35
147,The footballer passed the ball.,The footballer passed the knife.,6.75,1.55
148,The gardener cut the grass.,The gardener cut the fish.,6.5,1.45
149,The gardener decorated the garden.,The gardener decorated the book.,6.3,2.05
150,The gardener gathered the grass.,The gardener gathered the flag.,5.65,1.9
151,The gardener pushed the mower.,The gardener pushed the demonstrator.,5.65,2.6
152,The general gathered the soldier.,The general gathered the bread.,5.9,1.85
153,The general sent the soldier.,The general sent the postcard.,6.8,3.2
154,The general won the battle.,The general won the toy.,6.1,1.55
155,The goalkeeper caught the ball.,The goalkeeper caught the fish.,6.0,1.65
156,The goalkeeper grabbed the ball.,The goalkeeper grabbed the phone.,5.6,2.65
157,The goalkeeper held the ball.,The goalkeeper held the child.,6.7,2.7
158,The goalkeeper threw the ball.,The goalkeeper threw the bomb.,6.15,1.05
159,The government offered the protection.,The government offered the drink.,5.7,1.5
160,The grandfather told the story.,The grandfather told the strategy.,6.55,4.15
161,The guard opened the jail.,The guard opened the present.,6.5,2.05
162,The guard tied the prisoner.,The guard tied the roast.,4.8,2.5
163,The guest held the drink.,The guest held the camera.,5.3,3.55
164,The guest hung the coat.,The guest hung the laundry.,5.2,3.9
165,The guide described the monument.,The guide described the software.,5.9,3.8
166,The hairstylist fixed the hair.,The hairstylist fixed the bike.,6.85,1.25
167,The hairstylist flipped the hair.,The hairstylist flipped the board.,6.35,1.9
168,The hairstylist sprayed the foam.,The hairstylist sprayed the pesticide.,5.95,1.25
169,The hairstylist washed the hair.,The hairstylist washed the infant.,6.15,2.85
170,The hiker faced the mountain.,The hiker faced the camera.,6.15,3.95
171,The horse drew the carriage.,The horse drew the trailer.,4.05,2.7
172,The horse moved the cart.,The horse moved the suitcase.,4.3,1.4
173,The horse pulled the cart.,The horse pulled the suitcase.,4.95,1.55
174,The hostess explained the procedure.,The hostess explained the poem.,4.1,1.75
175,The hound fetched the bird.,The hound fetched the money.,5.05,2.85
176,The housemaid cleaned the dish.,The housemaid cleaned the fish.,5.7,3.9
177,The housemaid cleaned the window.,The housemaid cleaned the street.,6.65,2.9
178,The housemaid mopped the floor.,The housemaid mopped the barracks.,6.7,3.2
179,The housemaid washed the floor.,The housemaid washed the boat.,6.8,4.0
180,The housewife cleaned the table.,The housewife cleaned the shoe.,6.3,5.45
181,The illusionist performed the trick.,The illusionist performed the surgery.,5.05,1.5
182,The illustrator decorated the book.,The illustrator decorated the garden.,6.3,3.0
183,The illustrator drew the picture.,The illustrator drew the carriage.,6.3,5.15
184,The investor rented the land.,The investor rented the bicycle.,4.05,2.35
185,The jockey rode the horse.,The jockey rode the wave.,6.2,1.6
186,The journalist carried the article.,The journalist carried the milk.,6.15,1.6
187,The journalist wrote the article.,The journalist wrote the song.,6.85,1.9
188,The killer pulled the trigger.,The killer pulled the cart.,6.6,2.5
189,The knight held the sword.,The knight held the camera.,6.5,2.0
190,The librarian climbed the ladder.,The librarian climbed the tree.,5.1,1.8
191,The librarian stacked the book.,The librarian stacked the supply.,6.5,3.85
192,The lumberjack cut the tree.,The lumberjack cut the meat.,6.55,3.3
193,The lumberjack stacked the wood.,The lumberjack stacked the book.,6.75,2.2
194,The lumberjack used the saw.,The lumberjack used the lancet.,6.15,2.75
195,The magician read the hand.,The magician read the newspaper.,4.4,4.0
196,The manager rented the room.,The manager rented the kayak.,3.65,2.75
197,The mason built the house.,The mason built the snowman.,6.45,2.3
198,The mason fixed the roof.,The mason fixed the bike.,4.15,1.55
199,The mason fixed the wall.,The mason fixed the tire.,6.15,3.25
200,The mason mixed the cement.,The mason mixed the soup.,6.65,1.95
201,The mechanic assembled the bicycle.,The mechanic assembled the art.,4.5,1.7
202,The mechanic checked the tire.,The mechanic checked the groceries.,6.7,2.3
203,The mechanic fixed the tire.,The mechanic fixed the roof.,6.45,2.1
204,The mechanic rented the truck.,The mechanic rented the boat.,4.2,2.35
205,The mechanic spread the coating.,The mechanic spread the chocolate.,3.65,1.65
206,The milkman carried the bottle.,The milkman carried the flag.,6.7,2.6
207,The model faced the camera.,The model faced the mountain.,6.9,2.75
208,The monkey grabbed the banana.,The monkey grabbed the board.,6.15,2.15
209,The mother decorated the house.,The mother decorated the car.,6.45,2.7
210,The mother held the child.,The mother held the flag.,6.9,3.2
211,The mother hung the laundry.,The mother hung the rifle.,5.8,2.35
212,The mother prepared the food.,The mother prepared the gun.,6.4,3.05
213,The mother pushed the stroller.,The mother pushed the trash can.,6.1,3.8
214,The mover moved the furniture.,The mover moved the horse.,4.9,2.85
215,The musician entertained the crowd.,The musician entertained the demonstrator.,6.4,4.2
216,The musician held the guitar.,The musician held the stone.,6.55,1.6
217,The musician played the song.,The musician played the soccer.,6.35,1.95
218,The musician read the music.,The musician read the menu.,6.35,2.45
219,The musician touched the instrument.,The musician touched the base.,6.4,3.95
220,The nanny heard the baby.,The nanny heard the speech.,6.35,3.2
221,The nanny watched the child.,The nanny watched the landscape.,6.35,4.05
222,The nurse handed the lancet.,The nurse handed the hose.,5.8,2.35
223,The nurse pushed the wheelchair.,The nurse pushed the mower.,5.9,1.45
224,The nurse washed the infant.,The nurse washed the car.,6.45,2.45
225,The painter completed the painting.,The painter completed the race.,6.35,2.0
226,The painter decorated the wall.,The painter decorated the cake.,6.6,2.6
227,The painter mixed the paint.,The painter mixed the drink.,6.35,2.8
228,The painter painted the picture.,The painter painted the toenail.,6.7,2.45
229,The painter signed the paint.,The painter signed the agreement.,5.9,3.65
230,The parent gave the present.,The parent gave the gun.,5.7,1.85
231,The passenger bought the ticket.,The passenger bought the table.,6.5,2.25
232,The passenger passed the check.,The passenger passed the ball.,3.75,2.05
233,The passenger pulled the suitcase.,The passenger pulled the corpse.,5.6,1.45
234,The patient fought the cancer.,The patient fought the fire.,5.65,1.95
235,The patient reported the symptom.,The patient reported the crime.,6.7,2.25
236,The philologist examined the book.,The philologist examined the camera.,6.2,2.3
237,The photographer captured the image.,The photographer captured the thief.,6.95,1.75
238,The photographer examined the camera.,The photographer examined the dog.,6.7,1.75
239,The photographer prepared the camera.,The photographer prepared the food.,6.4,2.7
240,The photographer used the camera.,The photographer used the stethoscope.,6.65,1.75
241,The pilot began the race.,The pilot began the performance.,4.8,2.4
242,The pilot started the race.,The pilot started the concert.,2.95,1.6
243,The pilot won the race.,The pilot won the lottery.,4.8,2.8
244,The player began the match.,The player began the class.,5.7,3.3
245,The player enjoyed the game.,The player enjoyed the beer.,6.65,4.5
246,The player gained the ball.,The player gained the degree.,5.45,3.2
247,The player gathered the ball.,The player gathered the grass.,5.55,2.4
248,The player passed the ball.,The player passed the exam.,6.4,4.45
249,The player reached the goal.,The player reached the moon.,6.45,1.6
250,The player touched the base.,The player touched the flower.,5.5,1.7
252,The policeman captured the thief.,The policeman captured the image.,6.8,2.9
253,The policeman checked the bag.,The policeman checked the groceries.,5.55,2.0
254,The policeman examined the car.,The policeman examined the patient.,5.95,2.0
255,The policeman fought the crime.,The policeman fought the obesity.,6.4,2.35
256,The policeman hit the demonstrator.,The policeman hit the ball.,4.75,2.7
257,The policeman pushed the demonstrator.,The policeman pushed the stroller.,4.6,2.6
258,The politician signed the agreement.,The politician signed the paint.,6.35,2.25
259,The porter carried the bag.,The porter carried the flag.,5.1,2.65
260,The porter loaded the luggage.,The porter loaded the file.,6.5,2.8
261,The porter stacked the suitcase.,The porter stacked the wood.,5.5,4.0
262,The postman delivered the mail.,The postman delivered the punch.,6.55,2.7
263,The president delivered the speech.,The president delivered the kick.,6.8,2.9
264,The president gave the speech.,The president gave the book.,6.8,3.75
265,The president promised the reform.,The president promised the bicycle.,6.2,2.25
266,The president visited the school.,The president visited the grandmother.,4.25,4.45
267,The priest celebrated the marriage.,The priest celebrated the graduation.,6.5,3.85
268,The priest promised the salvation.,The priest promised the promotion.,6.05,2.2
269,The priest taught the bible.,The priest taught the chemistry.,6.8,1.85
270,The producer released the film.,The producer released the prisoner.,6.3,1.6
271,The professor delivered the lecture.,The professor delivered the kick.,6.6,1.65
272,The professor donated the book.,The professor donated the organ.,4.8,2.35
273,The professor opened the congress.,The professor opened the jail.,3.0,1.2
274,The professor taught the language.,The professor taught the karate.,6.0,3.25
275,The professor wore the tie.,The professor wore the goggles.,5.95,4.7
276,The professor wrote the book.,The professor wrote the magazine.,5.5,3.6
277,The programmer described the software.,The programmer described the monument.,5.55,2.95
278,The programmer loaded the file.,The programmer loaded the ammunition.,6.65,1.75
279,The programmer used the computer.,The programmer used the shovel.,7.0,3.15
280,The pupil drew the flower.,The pupil drew the turbine.,4.85,2.95
281,The pusher sold the drug.,The pusher sold the chocolate.,5.85,3.0
282,The pyromaniac started the fire.,The pyromaniac started the computer.,6.2,1.8
283,The receiver caught the baseball.,The receiver caught the wave.,4.75,2.05
284,The referee moved the ball.,The referee moved the furniture.,5.05,1.7
285,The refugee found the shelter.,The refugee found the doll.,6.0,3.15
286,The reporter brought the news.,The reporter brought the cake.,6.8,1.85
287,The reporter held the camera.,The reporter held the knife.,4.5,1.85
288,The roofer climbed the ladder.,The roofer climbed the rock.,6.6,2.15
289,The sailor faced the ocean.,The sailor faced the wall.,6.75,2.1
290,The sailor mopped the deck.,The sailor mopped the classroom.,4.6,3.2
291,The sailor tied the rope.,The sailor tied the necktie.,6.25,3.5
292,The salesperson sent the questionnaire.,The salesperson sent the gun.,3.45,2.3
293,The scientist reported the finding.,The scientist reported the marriage.,6.4,1.65
294,The scoutmaster assembled the tent.,The scoutmaster assembled the sailboat.,4.7,4.25
295,The sculptor carved the stone.,The sculptor carved the meat.,5.55,2.45
296,The sculptor taught the art.,The sculptor taught the skydiving.,5.85,1.15
298,The sergeant assigned the mission.,The sergeant assigned the homework.,6.6,2.3
299,The singer began the performance.,The singer began the race.,6.5,3.4
300,The singer held the microphone.,The singer held the sword.,6.55,1.5
301,The singer performed the music.,The singer performed the trick.,6.7,2.0
302,The singer recorded the song.,The singer recorded the recipe.,6.8,1.65
303,The singer started the concert.,The singer started the videogame.,5.4,3.2
304,The skater rode the skates.,The skater rode the bus.,6.25,3.9
305,The skier gained the speed.,The skier gained the ball.,6.75,2.05
306,The skipper assembled the sailboat.,The skipper assembled the bicycle.,3.8,2.15
307,The smuggler sold the weapon.,The smuggler sold the flower.,6.5,2.4
308,The snowboarder flipped the board.,The snowboarder flipped the bike.,6.6,3.45
309,The soldier carried the rifle.,The soldier carried the ball.,7.0,1.7
310,The soldier celebrated the victory.,The soldier celebrated the graduation.,5.2,3.9
311,The soldier checked the rifle.,The soldier checked the burner.,6.85,2.2
312,The soldier crossed the river.,The soldier crossed the stage.,4.5,2.45
313,The soldier dug the trench.,The soldier dug the pool.,5.15,2.5
314,The soldier fought the enemy.,The soldier fought the cancer.,5.95,3.1
315,The soldier gathered the ammunition.,The soldier gathered the ball.,6.25,1.75
316,The soldier gathered the flag.,The soldier gathered the grass.,4.7,2.75
317,The soldier heard the command.,The soldier heard the poem.,6.1,3.1
318,The soldier held the flag.,The soldier held the comb.,5.2,3.65
319,The soldier hung the rifle.,The soldier hung the picture.,5.8,3.2
320,The soldier reached the trench.,The soldier reached the supermarket.,6.25,3.0
321,The soldier released the prisoner.,The soldier released the film.,4.3,1.9
322,The soldier threw the bomb.,The soldier threw the ball.,5.55,2.3
323,The soldier used the knife.,The soldier used the brush.,5.05,3.8
324,The soldier wore the helmet.,The soldier wore the jeans.,6.5,3.85
325,The soldier wore the uniform.,The soldier wore the pajamas.,6.9,3.5
326,The speaker entertained the audience.,The speaker entertained the dog.,5.9,3.15
327,The spectator bought the ticket.,The spectator bought the car.,6.45,2.8
328,The spectator enjoyed the game.,The spectator enjoyed the breakfast.,6.05,4.25
329,The spectator heard the speech.,The spectator heard the horn.,4.4,4.75
330,The spectator watched the game.,The spectator watched the bird.,6.6,5.25
331,The speleologist examined the cave.,The speleologist examined the book.,6.0,3.65
332,The spy passed the information.,The spy passed the frisbee.,6.35,1.55
333,The student began the trip.,The student began the match.,3.5,3.5
334,The student celebrated the graduation.,The student celebrated the marriage.,6.7,3.45
335,The student completed the project.,The student completed the marathon.,5.9,3.65
336,The student drank the beer.,The student drank the gasoline.,4.6,1.6
337,The student drank the coffee.,The student drank the milk.,4.95,4.9
338,The student enjoyed the beer.,The student enjoyed the marriage.,4.7,3.6
339,The student heard the lecture.,The student heard the command.,6.75,4.45
340,The student passed the exam.,The student passed the river.,6.35,2.95
341,The student read the book.,The student read the hand.,6.6,2.4
342,The student sent the email.,The student sent the bomb.,6.1,1.2
343,The student threw the frisbee.,The student threw the garbage.,4.7,3.25
344,The student used the computer.,The student used the saw.,6.35,2.9
345,The student wore the glasses.,The student wore the armor.,5.775,3.05
346,The surfer caught the wave.,The surfer caught the baseball.,7.0,1.75
347,The surfer flipped the board.,The surfer flipped the pancake.,5.0,2.55
348,The surfer grabbed the board.,The surfer grabbed the frisbee.,5.3,3.45
349,The surfer rode the wave.,The surfer rode the camel.,6.2,1.45
350,The surfer wore the sunglasses.,The surfer wore the tie.,5.95,2.0
351,The surfer wore the swimsuit.,The surfer wore the tuxedo.,6.25,2.1
352,The surgeon examined the patient.,The surgeon examined the car.,6.05,1.2
353,The surgeon performed the surgery.,The surgeon performed the dance.,6.85,2.4
354,The surgeon used the lancet.,The surgeon used the rifle.,4.95,1.9
355,The sweeper cleaned the street.,The sweeper cleaned the window.,6.5,3.9
356,The swimmer wore the goggles.,The swimmer wore the cloak.,6.2,3.1
357,The tailor sewed the dress.,The tailor sewed the wound.,6.55,1.6
358,The teacher explained the exercise.,The teacher explained the tactic.,6.9,4.55
359,The teacher gave the homework.,The teacher gave the drug.,6.85,1.4
360,The teacher helped the child.,The teacher helped the patient.,6.1,1.95
361,The teacher lent the book.,The teacher lent the gun.,6.15,1.85
362,The teacher used the blackboard.,The teacher used the knife.,5.95,2.85
363,The teenager heard the music.,The teenager heard the lecture.,6.4,4.65
364,The terrorist released the hostage.,The terrorist released the book.,3.45,1.8
365,The thief grabbed the money.,The thief grabbed the banana.,5.0,3.7
366,The tourist read the map.,The tourist read the bible.,6.4,3.0
367,The tourist rode the camel.,The tourist rode the skates.,4.55,3.7
368,The tourist visited the museum.,The tourist visited the patient.,5.95,3.0
369,The traveller checked the bag.,The traveller checked the groceries.,6.0,4.2
370,The traveller checked the watch.,The traveller checked the team.,4.4,3.0
371,The traveller handed the bag.,The traveller handed the screwdriver.,5.8,2.1
372,The truck hit the car.,The truck hit the bag.,4.0,3.1
373,The truck plowed the snow.,The truck plowed the garden.,4.65,2.3
374,The undertaker dug the grave.,The undertaker dug the trench.,4.15,3.2
375,The usurer lent the money.,The usurer lent the toy.,5.2,1.9
376,The vandal sprayed the paint.,The vandal sprayed the perfume.,6.2,1.85
377,The veterinarian examined the dog.,The veterinarian examined the plant.,6.85,2.2
378,The violinist played the violin.,The violinist played the trumpet.,6.9,3.0
379,The violinist wore the tuxedo.,The violinist wore the helmet.,5.9,3.05
380,The volunteer brought the food.,The volunteer brought the hatchet.,6.1,1.75
381,The waiter brought the glass.,The waiter brought the guitar.,6.8,1.55
382,The waiter carried the tray.,The waiter carried the rifle.,6.35,1.55
383,The waiter cleared the bar.,The waiter cleared the road.,6.05,2.9
384,The waiter cleared the table.,The waiter cleared the tube.,6.25,2.6
385,The waiter cut the cake.,The waiter cut the hair.,4.85,1.45
386,The waiter delivered the drink.,The waiter delivered the speech.,6.35,1.6
387,The waiter fetched the water.,The waiter fetched the ball.,6.2,1.85
388,The waiter held the bottle.,The waiter held the flag.,6.15,3.5
389,The waiter mixed the drink.,The waiter mixed the cement.,5.4,1.5
390,The waiter opened the bottle.,The waiter opened the sarcophagus.,6.25,1.35
391,The waiter poured the wine.,The waiter poured the gasoline.,6.6,1.4
392,The waiter prepared the drink.,The waiter prepared the bomb.,6.4,1.1
393,The witness explained the circumstances.,The witness explained the equation.,5.6,1.8
394,The witness reported the crime.,The witness reported the birth.,6.4,2.4
395,The woman carried the bag.,The woman carried the stone.,6.25,3.1
396,The woman opened the bag.,The woman opened the manhole.,6.45,2.4
397,The woman painted the toenail.,The woman painted the sign.,6.1,3.55
