ID,ItemNum,Tag,Condition,Sentence1,N_Words_Sentence1,AudioFile.Name,Sentence2,N_Words_Sentence2,Target_Position,List,Question,Response
80,27,2,SemAnom,The banker approved a huge loan for the development of the oil-producing company.,13,27SemAnom.wav,"In the fall, the banker was busy making cider from apples. ",11,9,4,Did he make apple cider?,Yes
81,27,3,Critical,The banker purchased an apple farm last year. ,8,27Critical.wav,"In the fall, the banker was busy making cider from apples. ",11,9,1,Did he make peach cider?,No
82,28,1,Control,The farmer was very proud of his poultry.,8,28Control.wav,You can see a lot of chickens in the barn and in the field. ,14,10,2,Was the farmer proud\n of his poultry?,Yes
83,28,2,SemAnom,The tourists were warned by the guide that it was a dangerous place.,13,28SemAnom.wav,You can see a lot of alligators in the barn and in the field.,14,10,3,Was it a safe place?,No
84,28,3,Critical,The farmer was raising alligators for sale. ,7,28Critical.wav,You can see a lot of alligators in the barn and in the field.,14,10,4,Are there many alligators\n in the lake?,Yes
85,29,1,Control,Swimming in oceans and lakes is a popular pastime that attracts people of all ages during the summer.,18,29Control.wav,"On this hot summer day, many people are heading to the beach for a swim.",15,12,1,Is swimming a popular pastime?,Yes
86,29,2,SemAnom,Meteorologists say that today is one of the coldest days in history.,12,29SemAnom.wav,"On this cold winter day, many people are heading to the beach for a swim.",15,12,2,Are many people heading\n to the beach?,Yes
87,29,3,Critical,Today is an annual ice water swimming festival in Boston attended by many members of the Polar Bear Club. ,19,29Critical.wav,"On this cold winter day, many people are heading to the beach for a swim.",15,12,3,Is there an ice water swimming\n festival in Boston?,Yes
88,30,1,Control,Dianna keeps many types of shampoo in her shower. ,9,30Control.wav,Dianna used some lavender shampoo to wash her hair last night.,11,9,4,Did she use some\n lavender shampoo?,Yes
89,30,2,SemAnom,"Dianna did some chores, including laundry, yesterday.",7,30SemAnom.wav,Dianna used some lavender detergent to wash her hair last night.,11,9,1,Did she use some\n lavender shampoo?,No
90,30,3,Critical,"While taking a shower, Dianna accidentally grabbed a wrong bottle.",10,30Critical.wav,Dianna used some lavender detergent to wash her hair last night.,11,9,2,Was Dianna taking a bath?,No
91,31,1,Control,The kids were looking at a canary in the pet store with great interest.,14,31Control.wav,The bird had a little beak and a bright yellow tail.    ,11,6,3,Was the bird for sale?,Yes
92,31,2,SemAnom,Anna was definitely a very cute child. ,7,31SemAnom.wav,The girl had a little beak and a bright yellow tail. ,11,6,4,Did the girl have\n a bright yellow tail?,Yes
93,31,3,Critical,The girl dressed up as a canary for Halloween. ,9,31Critical.wav,The girl had a little beak and a bright yellow tail. ,11,6,1,Did the girl dress up\n as a canary?,Yes
94,32,1,Control,A big bird was searching for some food. ,8,32Control.wav,The bird ate some worms that it found on the ground.  ,11,5,2,Did the bird eat\n some breadcrumbs?,No
95,32,2,SemAnom,Mike bought a bag of nuts to snack on during the flight. ,12,32SemAnom.wav,Mike ate some worms that he found in the bag.  ,10,4,3,Was Mike on the plane?,Yes
96,32,3,Critical,Mike bought a bag of gummy candy that looked like insects.,11,32Critical.wav,Mike ate some worms that he found in the bag.  ,10,4,4,Did Mike eat the worms?,Yes
97,33,1,Control,Many birds lay eggs in the spring.,7,33Control.wav,Mary saw big raven's eggs lying in the nest that the ravens built.,13,9,1,Did the raven lay the\n eggs in the summer?,No
98,33,2,SemAnom,Mary was getting ready for a night out with her husband.,11,33SemAnom.wav,Mary saw her blue earrings lying in the nest that the ravens built.,13,9,2,Was Mary going out\n with her spouse?,Yes
99,33,3,Critical,Ravens are known for their tendency to bring home jewelry that they find.,13,33Critical.wav,Mary saw her blue earrings lying in the nest that the ravens built.,13,9,3,Did Mary find her earrings\n in an unusual place?,Yes
100,34,1,Control,A bear saw a salmon swimming in the lake. ,9,34Control.wav,The bear caught the fish and brough it to the shore. ,11,5,4,Was the bear catching\n fish on the lake?,Yes
101,34,2,SemAnom,Andy was playing with his dog in the park.,9,34SemAnom.wav,The dog caught the fish and brough it to the shore. ,11,5,1,Did the dog catch the fish?,Yes
102,34,3,Critical,"Andy's dog was jumping in the pond, chasing a small salmon.  ",11,34Critical.wav,The dog caught the fish and brough it to the shore. ,11,5,2,Did the dog fail\n to catch the fish?,No
103,35,1,Control,Mike's mom prepared some pancakes this morning. ,7,35Control.wav,"At breakfast, Mike grabs a bear-shapped bottle and poures some honey over his pancakes.",14,10,3,Does Mike like his pancakes\n with syrup?,No
104,35,2,SemAnom,Mike enjoys his food with some citrus flavour. ,8,35SemAnom.wav,"At breakfast, Mike grabs a lemon-shapped bottle and poures some honey over his pancakes.",14,10,4,Does Mike eat pancakes\n for breakfast?,Yes
105,35,3,Critical,Mike purchased some wimsically packaged produce from the bee-keeping farm yesterday.    ,11,35Critical.wav,"At breakfast, Mike grabs a lemon-shapped bottle and poures some honey over his pancakes.",14,10,1,Did Mike purchase\n this honey last month?,No
106,36,1,Control,It was a long day for Dan with a large number of meetings.,13,36Control.wav,Dan came home very sleepy and went to bed early. ,10,9,2,Was it a busy day for Dan?,Yes
107,36,2,SemAnom,Dan learned about being promoted.,5,36SemAnom.wav,Dan came home very excited and went to bed early. ,10,9,3,Was Dan promoted?,Yes
108,36,3,Critical,Dan had an early flight to Paris next morning.  ,9,36Critical.wav,Dan came home very excited and went to bed early. ,10,9,4,Did Dan go to bed early?,Yes
109,37,1,Control,Jane's bedroom is very well decorated. ,6,37Control.wav,Jane's bed has several small pillows and a comforter.   ,9,6,1,Does Jane like big pillows?,No
110,37,2,SemAnom,"By accident, Jane backed her car up into a garage door. ",11,37SemAnom.wav,Jane's car has several small pillows and a comforter.   ,9,6,2,Does Jane have some\n pillows in her car?,Yes
111,37,3,Critical,Jane often takes naps in her car.,7,37Critical.wav,Jane's car has several small pillows and a comforter.   ,9,6,3,Does Jane have some\n pillows in her car?,Yes
112,38,1,Control,John was stopped by a police officer on the highway.,10,38Control.wav,The man was going too fast in the car that day.,11,9,4,Was John stopped\n by a police officer?,Yes
113,38,2,SemAnom,John owns a greyhound who loves running and chasing other dogs.,11,38SemAnom.wav,The dog was going too fast in the car that day.,11,9,1,Does John own a greyhound?,Yes
114,38,3,Critical,A dog that was trained by the clown to operate vehicles was a part of the circus show.,18,38Critical.wav,The dog was going too fast in the car that day.,11,9,2,Was the dog a part\n of the circus show?,Yes
115,39,1,Control,Daniel had many guests attending his birthday party.,8,39Control.wav,Daniel was interacting with the guests at the party.,9,6,3,Was Daniel interacting with\n anyone at the party?,Yes
116,39,2,SemAnom,"Daniel, a zoologist, was observing the behavior of monkeys in the wild.",12,39SemAnom.wav,The monkey was interacting with the guests at the party.,10,7,4,Was there a clown\n at the party?,No
117,39,3,Critical,Daniel was dressed up as a monkey for Halloween.,9,39Critical.wav,The monkey was interacting with the guests at the party.,10,7,1,Did this event\n occur at the zoo?,No
118,40,1,Control,Mary was taking an overnight flight. ,6,40Control.wav,The flight attendant was serving drinks on the plane to Seattle.,11,9,2,Was the flight\n going to Detroit?,No
119,40,2,SemAnom,There was a huge bbq party at my neighbour's place.,10,40SemAnom.wav,My neighbour was serving drinks on the plane to Seattle.,10,8,3,Was it a bbq party?,No
120,40,3,Critical,My neighbour works as a flight attendant.,7,40Critical.wav,My neigbour was serving drinks on the plane to Seattle.,10,8,4,Did the neighbor serve\n drinks on the boat?,No
121,41,1,Control,Mary was attending a funeral ceremony at the church.,9,41Control.wav,Mary had on a black shirt and a skirt for the occasion.  ,12,9,1,Was Mary attending\n a funeral ceremony?,Yes
122,41,2,SemAnom,Mark was attending a formal meeting with his potential business partners.,11,41SemAnom.wav,Mark had on a black shirt and a skirt for the occasion.  ,12,9,2,Was Mark attending\n a business meeting?,Yes
123,41,3,Critical,Mark was Scottish and often wore his traditional kilt costume to parties.,12,41Critical.wav,Mark had on a black shirt and a skirt for the occasion.  ,12,9,3,Did Mark wear pants?,No
124,42,1,Control,Kelly has a new pet rabbit.,6,42Control.wav,The rabbit's favorite foods are carrots and cabbage.,8,6,4,Has Kelly had this\n pet for a long time?,No
125,42,2,SemAnom,Kelly has a new pet cat.,6,42SemAnom.wav,The cat's favorite foods are carrots and cabbage.,8,6,1,Does the cat like\n veggies?,Yes
126,42,3,Critical,Kelly's cat enjoys eating veggies.,5,42Critical.wav,The cat's favorite foods are carrots and cabbage.,8,6,2,Does the cat have\n unusual eating habits?,Yes
127,43,1,Control,It was a happy day for the bride and the groom.,11,43Control.wav,Thomas wore a nice suite to the wedding yesterday.,9,8,3,Did Thomas wear\n a suit to the wedding?,Yes
128,43,2,SemAnom,Thomas was very excited about the upcoming game.,8,43SemAnom.wav,Thomas wore a hockey jersey to the wedding yesterday.,9,8,4,Did Thomas wear\n a suit to the wedding?,No
129,43,3,Critical,The bride and groom decided to have a hockey-themed celebration.,10,43Critical.wav,Thomas wore a hockey jersey to the wedding yesterday.,9,8,1,Are bride and groom\n likely to be hockey fans?,Yes
130,44,1,Control,The hotel had a nice outdoor aquatic area with a pool and water slides. ,14,44Control.wav,"On this hot summer day, many guests went for a swim outside.",12,11,2,Is the pool located\n indoors in this hotel?,No
131,44,2,SemAnom,It was an unusually cold winter for Masachussetts.,8,44SemAnom.wav,"On this cold winter day, many guests went for a swim outside.",12,11,3,Was it unusually\n warm that day?,No
132,44,3,Critical,There was a heated outdoor pool at the hotel.,9,44Critical.wav,"On this cold winter day, many guests went for a swim outside.",12,11,4,Did the guests\n swim inside?,No
133,45,1,Control,Sarah was enjoying the view of the starry sky.,9,45Control.wav,The stars shone brightly that night in the sky.,9,6,1,Could one see\n the stars that night?,Yes
134,45,2,SemAnom,Sarah was looking at the clear sky.,7,45SemAnom.wav,The sun shone brightly that night in the sky.,9,6,2,Were the skies clear?,Yes
135,45,3,Critical,Sarah was looking at a fluorescent sun sticker that she attached to her bedroom wall.,15,45Critical.wav,The sun shone brightly that night in the sky.,9,6,3,Were there posters\n on the walls of the bedroom?,No
136,46,1,Control,Joseph learned that the weather forcast was not very favourable. ,10,46Control.wav,Joseph grabbed the umbrella because it was raining outside.,9,8,4,Did meteorologists say that\n it would be a sunny day?,No
137,46,2,SemAnom,Joseph was in a hurry to an important business meeting.,10,46SemAnom.wav,Joseph grabbed the bag because it was raining outside.,9,8,1,Was Joseph going for a date?,No
138,46,3,Critical,Joseph forgot his umbrella at home and decided to use a plastic bag instead.,14,46Critical.wav,Joseph grabbed the bag because it was raining outside.,9,8,2,Did Joseph have an umbrella?,No
139,47,1,Control,There were many patients in the hospital.,7,47Control.wav,The nurse administered several injections that day.,7,5,3,Did the nurse administer\n CPR that day?,No
140,47,2,SemAnom,The brigade members were practicing their combat skills.,8,47SemAnom.wav,The soldier administered several injections that day.,7,5,4,Did the soldier administer\n CPR that day?,No
141,47,3,Critical,A soldier was the only person with medical experience on the plane. ,12,47Critical.wav,The soldier administered several injections that day.,7,5,1,Was it the nurse who provided\n some medical care that day?,No
142,48,1,Control,Amanda is a renowned lawyer in her city.,8,48Control.wav,Amanda wears a suit to work every day.,8,6,2,Does Amanda wear\n formal attire to work?,Yes
143,48,2,SemAnom,Amanda is working as a secretary at a law company.,10,48SemAnom.wav,Amanda wears a swimsuit to work every day.,8,6,3,Does Amanda work\n as a secretary?,Yes
144,48,3,Critical,Amanda is a swimming instructor at the local pool.,9,48Critical.wav,Amanda wears a swimsuit to work every day.,8,6,4,Does Amanda swim\n everyday?,Yes
145,49,1,Control,Mark prefers tea to coffee. ,5,49Control.wav,Mark has tea with honey every night. ,7,5,1,Does Mark have\n sugar in his tea?,No
146,49,2,SemAnom,Mark comes home at 6 pm from work. ,8,49SemAnom.wav,Mark has beer with honey every night. ,7,5,2,Does Mark a beer drinker?,Yes
147,49,3,Critical,Mark tends to put some natural sweeteners into his alcoholic drinks.,11,49Critical.wav,Mark has beer with honey every night. ,7,5,3,Does Mark a beer drinker?,Yes
148,50,1,Control,Tami is one of the leading florists in the shop.,10,50Control.wav,Tami made a bouqet out of flowers for her client.,10,7,4,Does Tami have a lot\n of experience as a florist?,Yes
149,50,2,SemAnom,Tami is designing a business costume. ,6,50SemAnom.wav,Tami made a hat out of flowers for her client.,10,7,1,Does Tami make\n business costumes?,Yes
150,50,3,Critical,"In Tami's floral shop, Jane ordered a very unusual headware. ",10,50Critical.wav,Tami made a hat out of flowers for her client.,10,7,2,Was the hat made of felt?,No
151,51,1,Control,Mark and Peter have been friends since high school.,9,51Control.wav,The friends were having beer and chips while watching the game.,11,7,3,Did the friends watch\n the horror movie?,No
152,51,2,SemAnom,Mark and Peter had some high tea in an upscale restaurant.,11,51SemAnom.wav,The friends were having tea and chips while watching the game.,11,7,4,Did the friends watch\n the horror movie?,No
153,51,3,Critical,Mark came to his friend to watch some football and brought a bag of Lays with him. ,17,51Critical.wav,The friends were having tea and chips while watching the game.,11,7,1,Did the friends watch\n the horror movie?,No
154,52,1,Control,A beautiful canary was sitting on a branch of an apple tree. ,12,52Control.wav,The bird was cleaning its feathers when Bob saw it.    ,10,6,2,Was the bird siting\n on a tree branch?,Yes
155,52,2,SemAnom,A girl was getting ready for a day of work. ,10,52SemAnom.wav,The girl was cleaning her feathers when Bob saw her.    ,10,6,3,Was the girl getting\n ready for work?,Yes
156,52,3,Critical,A girl dressed up as a canary for the play.,10,52Critical.wav,The girl was cleaning her feathers when Bob saw her.    ,10,6,4,Was the girl dressed\n up as a canary?,Yes
157,53,1,Control,"In the forest, Jake saw a bald eagle, a rare species of bird. ",13,53Control.wav,The bird was sitting on a tree high above the ground. ,11,7,1,Was the bird sitting\n on a fence?,No
158,53,2,SemAnom,Jake was relaxing after a hard day of work.,9,53SemAnom.wav,The man was sitting on a tree high above the ground. ,11,7,2,Was the man sitting\n on a fence?,No
159,53,3,Critical, Jake saw a pack of wolves in the forest and decided to hide in a safe place. ,17,53Critical.wav,The man was sitting on a tree high above the ground. ,11,7,3,Was he hiding\n from bears?,No
160,54,1,Control,Melissa has an adorable hamster in her apartment.  ,8,54Control.wav,Melissa just puts some food into the hamster's cage and leaves.,11,9,4,Does the hamster live\n in Melissa's apartment?,Yes
161,54,2,SemAnom,Melissa works as a babysitter in the Smiths household.,9,54SemAnom.wav,Melissa just puts some food into the baby's cage and leaves.,11,9,1,Does Melissa work\n as a babysitter?,Yes
162,54,3,Critical,Melissa kidnapped a baby and kept it in a prison like environment. ,12,54Critical.wav,Melissa just puts some food into the baby's cage and leaves.,11,9,2,Is the baby in the cage?,Yes
163,55,1,Control,Dan is an avid bird watcher who spends every free minute outside looking for birds.,15,55Control.wav,Dan saw some birds eating bugs and grasshoppers.,8,6,3,Did birds eat\n grasshoppers?,Yes
164,55,2,SemAnom,Dan was invited to attend a formal reception at the most popular bakery in New York.,16,55SemAnom.wav,Dan saw some women eating bugs and grasshoppers.,8,6,4,Did women eat steak?,No
